,Open,High,Low,Close,Adj Close,Volume
2928,0.14298977418127287,0.1420513126389966,0.14358312289564498,0.14177345481327103,0.10600166595114748,0.02658684068660909
2929,0.14241758968210935,0.14102880903893183,0.14241492969808725,0.1397111576035593,0.10446010108990438,0.027927389631453158
2930,0.13952221498489462,0.13830213277209247,0.13958388830080248,0.1369934499268736,0.1024285705856813,0.0425820374770656
2931,0.13759196518675146,0.13635937593196942,0.13817011913027602,0.13550762992472942,0.10131789165556088,0.042770371415813115
2932,0.13807452763628725,0.13691834129465996,0.13781930833954784,0.1350684025283347,0.10098956752451989,0.045165266501778066
2933,0.135385965417445,0.1372796291720277,0.13648622733478066,0.13688021039128612,0.10234390984881177,0.0459206556519848
2934,0.1386949650714047,0.13753184345469882,0.13870686132398197,0.13696943141580542,0.1024106201159958,0.026519541381408617
2935,0.13738515270837898,0.13591629103860803,0.13767898402325654,0.13501693076083884,0.10095109415477041,0.03147227280194165
2936,0.13559277789581747,0.1346892867185303,0.13543379496259605,0.13352424950345845,0.09983529726297294,0.056642762447045546
2937,0.1346965904895367,0.1351664550652272,0.1371176867580914,0.1357066557394767,0.10146668309274536,0.0619600149001298
2938,0.13600640285256244,0.1363184774239726,0.13767898402325654,0.13559685094924873,0.10138461015715713,0.0346650420743572
2939,0.13649241548573743,0.13537095578524017,0.13643360571617144,0.1341213269477003,0.10028162107013143,0.04794828220475648
2940,0.1340141076564077,0.13325096662377833,0.13508298417186784,0.1331845391321788,0.09958134744105242,0.06878879760117165
2941,0.13400721556162842,0.13278061333174276,0.13431821496418858,0.13174332964229427,0.09850401513563138,0.038072608054862095
2942,0.13228377824185775,0.1325011306503975,0.13417087611597453,0.1325154061547324,0.09908117112691582,0.06929098287641916
2943,0.13400721556162842,0.13537095578524017,0.13325876806008122,0.13584391378613236,0.10156927837943676,0.06472773136269092
2944,0.13439671405039644,0.136850174387989,0.1368124830540497,0.1348865422049022,0.1008536256131291,0.048284489520164925
2945,0.13573065288139913,0.13421211837183344,0.13608630640113412,0.1336615075501141,0.09993789200070351,0.024089362602987895
2946,0.1336625280976743,0.13317257304510094,0.13297811942749865,0.13039820243216527,0.09749855332905416,0.07402654606199287
2947,0.1319390907779036,0.13176492478633936,0.1336095788508094,0.13158891433980663,0.09838858734093153,0.05049804956375474
2948,0.13283527818418436,0.1325011306503975,0.1351531463300135,0.13262178443508366,0.09916068919887164,0.02798907825113197
2949,0.13400721556162842,0.1337826635877947,0.13352538762881824,0.13109478866603935,0.09801926022870615,0.03400098562970401
2950,0.1319390907779036,0.13250794570505883,0.13346925453451813,0.13294090280517185,0.09939922584799299,0.05170625574083029
2951,0.1356617153886083,0.13414395146516245,0.13501282201372222,0.13260805368912842,0.09948417204448626,0.059606361244854945
2952,0.12689631152575478,0.13400761765182048,0.12917883688002044,0.13389828262188483,0.10045187303245169,0.04813566174854412
2953,0.13400032346684917,0.13421211837183344,0.13371482208802787,0.13346591648072634,0.10012758595924327,0.07572875285450857
2954,0.1356617153886083,0.1356436234119241,0.13781930833954784,0.13545273164735686,0.10161772746511408,0.06668548463597641
2955,0.13483446547511835,0.1358413090772757,0.1372580110743827,0.13611842987944373,0.10211701610961303,0.03430633417474336
2956,0.11780690475578404,0.13584812413193706,0.11992795801240955,0.13606695811194783,0.10207840879342471,0.022208510426620334
2957,0.13710940273721567,0.13802946514540854,0.13957336229318884,0.1381567085780873,0.10364578194945738,0.05746198037532594
2958,0.13952221498489462,0.13850663349210543,0.13992417308391703,0.13748414909076417,0.1031413500910839,0.030798441039214645
2959,0.13917752752094048,0.13789313133206657,0.13891033326649613,0.1361149951340842,0.10211445301156839,0.03572031368937857
2960,0.13676471527326153,0.13529256220656277,0.1358547679114699,0.1338605333648614,0.10042356861283691,0.05063276385839324
2961,0.13511021544628168,0.13414395146516245,0.13642659118424866,0.13369582206177802,0.10029998216250643,0.024710818327159653
2962,0.13428296553279173,0.13359861621179459,0.13537766186829595,0.13398749541092134,0.10051876720150872,0.024433523209728584
2963,0.13502059339665393,0.13350999596111077,0.1353636328044504,0.13346248997084964,0.10012503109561087,0.02412724919078876
2964,0.13406236886486075,0.1333873004371203,0.13424103827412018,0.13249138764366422,0.09939667098436059,0.020090563405373765
2965,0.13262846570581188,0.13237161189171687,0.1343112004322658,0.13149626680541063,0.09865030221357843,0.02200146456244751
2966,0.1326974031986027,0.13225231980504265,0.13487249769743093,0.13240216661914492,0.09932975156310607,0.01984074329436317
2967,0.13331784063372015,0.13234434349304272,0.1338270798571691,0.1316952926201579,0.09879957069771103,0.030364335937771138
2968,0.13400721556162842,0.13387128383847852,0.1343112004322658,0.13196980871346925,0.09900547272430989,0.04980397305945476
2969,0.13359359060488346,0.1328419651837524,0.13494265985557657,0.1329855133174315,0.09976727168567646,0.033222228263510185
2970,0.13400721556162842,0.13271585804241687,0.1353846848196777,0.13322914964443844,0.0999499878032984,0.020367511470092154
2971,0.13476552798232752,0.13325778167843966,0.1344515247485571,0.1321070667601249,0.0991084116604714,0.02110687835339684
2972,0.13270774547702116,0.131826276638349,0.1336095788508094,0.13112910317770327,0.09837492535313182,0.027742179167119765
2973,0.12688596924733633,0.1343279988411626,0.12916831087240677,0.13490369946073416,0.10120594866411384,0.0633936607351502
2974,0.1366957777804707,0.13655706159732103,0.13896645794133725,0.13641010322858702,0.10233579291420307,0.05221821633415161
2975,0.13710940273721567,0.1387758895014443,0.13957336229318884,0.1382459296026066,0.10371270960512412,0.06319072166141075
2976,0.1374540902011698,0.13591629103860803,0.134662011222994,0.13201098448036938,0.09903633200755708,0.1360081071513682
2977,0.13400721556162842,0.13316916142775587,0.1339603896415376,0.13149969331528732,0.09865287354603529,0.11289561117139546
2978,0.132776682969812,0.13308054935710087,0.13445503622424795,0.13270757071424347,0.09955882302985741,0.09740014136613831
2979,0.1336625280976743,0.13284878023841376,0.13487249769743093,0.13243648113080883,0.09935547586689097,0.049454635583083266
2980,0.13331784063372015,0.13310099452108487,0.1352934706463048,0.13262178443508366,0.09949446670664755,0.03200930795375407
2981,0.13339367022129026,0.13281469678507826,0.13537766186829595,0.13303355857505067,0.09980328241721043,0.02448248656327581
2982,0.13386934057604677,0.13591629103860803,0.13613541654405245,0.13659883304273857,0.10247733038317984,0.06029011293095271
