Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,0.794921,0.796679,0.791015,0.796679,0.521856,204800
1996-01-02,0.794921,0.798828,0.793457,0.793457,0.519745,204800
1996-01-03,0.798828,0.798828,0.798828,0.798828,0.523263,102400
1996-01-04,0.791015,0.794921,0.791015,0.793554,0.519809,307200
1996-01-05,0.784179,0.784179,0.784179,0.784179,0.513668,51200
1996-01-08,0.784179,0.791015,0.785156,0.789062,0.516866,358400
1996-01-09,0.789062,0.781250,0.771484,0.780273,0.511109,870400
1996-01-10,0.780273,0.775390,0.771484,0.773437,0.506631,358400
1996-01-11,0.779296,0.791015,0.773437,0.791015,0.518145,819200
1996-01-12,0.787109,0.787109,0.781250,0.786621,0.515267,358400
1996-01-15,0.776367,0.785156,0.776367,0.777832,0.509510,307200
1996-01-16,0.777832,0.781250,0.712890,0.781250,0.511749,358400
1996-01-17,0.781250,0.783203,0.771484,0.773828,0.506887,768000
1996-01-18,0.773828,0.776367,0.769531,0.776367,0.508550,204800
1996-01-19,0.771484,0.771484,0.768066,0.768554,0.503433,512000
1996-01-22,0.771484,0.776367,0.771484,0.776367,0.508550,204800
1996-01-23,0.767578,0.781250,0.767578,0.773925,0.506951,665600
1996-01-24,0.773925,0.770507,0.752929,0.770507,0.504712,409600
1996-01-25,0.770996,0.770996,0.767578,0.767578,0.502793,102400
1996-01-26,0.767578,0.767578,0.767578,0.767578,0.502793,0
1996-01-29,0.765625,0.765625,0.763183,0.763183,0.499915,102400
1996-01-30,0.763183,0.775390,0.771484,0.772460,0.505991,1433600
1996-01-31,0.772460,0.781250,0.767578,0.781250,0.511749,460800
1996-02-01,0.781250,0.810546,0.781250,0.810546,0.530939,819200
1996-02-02,0.810546,0.839843,0.810546,0.839746,0.550066,2355200
1996-02-05,0.839746,0.841796,0.820410,0.839843,0.550130,819200
1996-02-06,0.839843,0.883789,0.839843,0.859375,0.562924,1382400
1996-02-07,0.859375,0.843750,0.833984,0.836523,0.547955,972800
1996-02-08,0.849609,0.888671,0.849609,0.888671,0.582114,768000
1996-02-09,0.888671,0.927734,0.830078,0.922558,0.604311,1382400
1996-02-12,0.922558,0.935546,0.908203,0.912109,0.597467,819200
1996-02-13,0.937500,0.957031,0.937500,0.957031,0.626893,2048000
