Date,Open,High,Low,Close
1980-12-12,0.128348,0.128906,0.128348,0.128348
1980-12-15,0.12221,0.12221,0.121652,0.121652
1980-12-16,0.113281,0.113281,0.112723,0.112723
1980-12-17,0.115513,0.116071,0.115513,0.115513
1980-12-18,0.118862,0.11942,0.118862,0.118862
1980-12-19,0.126116,0.126674,0.126116,0.126116
1980-12-22,0.132254,0.132813,0.132254,0.132254
1980-12-23,0.137835,0.138393,0.137835,0.137835
1980-12-24,0.145089,0.145647,0.145089,0.145089
1980-12-26,0.158482,0.15904,0.158482,0.158482
1980-12-29,0.160714,0.161272,0.160714,0.160714
1980-12-30,0.157366,0.157366,0.156808,0.156808
1980-12-31,0.152902,0.152902,0.152344,0.152344
1981-01-02,0.154018,0.155134,0.154018,0.154018
1981-01-05,0.151228,0.151228,0.15067,0.15067
1981-01-06,0.144531,0.144531,0.143973,0.143973
1981-01-07,0.138393,0.138393,0.137835,0.137835
1981-01-08,0.135603,0.135603,0.135045,0.135045
1981-01-09,0.142299,0.142857,0.142299,0.142299
1981-01-12,0.142299,0.142299,0.141183,0.141183
1981-01-13,0.136719,0.136719,0.136161,0.136161
1981-01-14,0.136719,0.137277,0.136719,0.136719
1981-01-15,0.139509,0.140625,0.139509,0.139509
1981-01-16,0.138951,0.138951,0.138393,0.138393
1981-01-19,0.146763,0.147321,0.146763,0.146763
1981-01-20,0.142857,0.142857,0.142299,0.142299
1981-01-21,0.145089,0.146205,0.145089,0.145089
1981-01-22,0.146763,0.147879,0.146763,0.146763
1981-01-23,0.146763,0.147321,0.146205,0.146205
1981-01-26,0.144531,0.144531,0.143973,0.143973
1981-01-27,0.143973,0.143973,0.142857,0.142857
1981-01-28,0.138951,0.138951,0.138393,0.138393
1981-01-29,0.133929,0.133929,0.133371,0.133371
1981-01-30,0.127232,0.127232,0.126116,0.126116
1981-02-02,0.11942,0.11942,0.118862,0.118862
1981-02-03,0.123326,0.123884,0.123326,0.123326
1981-02-04,0.12779,0.128348,0.12779,0.12779
1981-02-05,0.12779,0.128906,0.12779,0.12779
1981-02-06,0.128348,0.128906,0.128348,0.128348
1981-02-09,0.122768,0.122768,0.121652,0.121652
1981-02-10,0.121652,0.12221,0.121652,0.121652
1981-02-11,0.118304,0.118304,0.117746,0.117746
1981-02-12,0.117188,0.117188,0.116629,0.116629
1981-02-13,0.114955,0.114955,0.113839,0.113839
1981-02-17,0.116629,0.117188,0.116629,0.116629
1981-02-18,0.121652,0.122768,0.121652,0.121652
1981-02-19,0.114955,0.114955,0.114397,0.114397
1981-02-20,0.108817,0.108817,0.108259,0.108259
1981-02-23,0.109933,0.110491,0.109933,0.109933
1981-02-24,0.107143,0.107143,0.106027,0.106027
1981-02-25,0.112723,0.113281,0.112723,0.112723
1981-02-26,0.114397,0.114955,0.114397,0.114397
1981-02-27,0.118304,0.11942,0.118304,0.118304
1981-03-02,0.118862,0.11942,0.118862,0.118862
1981-03-03,0.117746,0.117746,0.117188,0.117188
1981-03-04,0.116629,0.116629,0.116071,0.116071
1981-03-05,0.116071,0.116071,0.115513,0.115513
1981-03-06,0.115513,0.115513,0.114397,0.114397
1981-03-09,0.106027,0.106027,0.105469,0.105469
1981-03-10,0.101004,0.101004,0.100446,0.100446
1981-03-11,0.097656,0.097656,0.09654,0.09654
1981-03-12,0.100446,0.101004,0.100446,0.100446
1981-03-13,0.099888,0.099888,0.09933,0.09933
1981-03-16,0.103237,0.104353,0.103237,0.103237
1981-03-17,0.108259,0.109375,0.108259,0.108259
1981-03-18,0.114955,0.116071,0.114955,0.114955
1981-03-19,0.114397,0.114397,0.113839,0.113839
1981-03-20,0.114955,0.116071,0.114955,0.114955
1981-03-23,0.11942,0.120536,0.11942,0.11942
1981-03-24,0.11942,0.11942,0.118862,0.118862
1981-03-25,0.117746,0.117746,0.116629,0.116629
1981-03-26,0.114955,0.114955,0.114397,0.114397
1981-03-27,0.111049,0.111049,0.110491,0.110491
1981-03-30,0.110491,0.111607,0.110491,0.110491
1981-03-31,0.110491,0.110491,0.109375,0.109375
1981-04-01,0.108817,0.108817,0.108259,0.108259
1981-04-02,0.117746,0.118304,0.117746,0.117746
1981-04-03,0.118304,0.118862,0.118304,0.118304
1981-04-06,0.116629,0.116629,0.116071,0.116071
1981-04-07,0.115513,0.115513,0.114955,0.114955
1981-04-08,0.120536,0.121652,0.120536,0.120536
1981-04-09,0.122768,0.123326,0.122768,0.122768
1981-04-10,0.124442,0.125,0.124442,0.124442
1981-04-13,0.124442,0.125,0.124442,0.124442
1981-04-14,0.124442,0.125,0.124442,0.124442
1981-04-15,0.118862,0.118862,0.118304,0.118304
1981-04-16,0.112165,0.112165,0.111607,0.111607
1981-04-20,0.114955,0.115513,0.114955,0.114955
1981-04-21,0.122768,0.123326,0.122768,0.122768
1981-04-22,0.127232,0.12779,0.127232,0.127232
1981-04-23,0.13058,0.131138,0.13058,0.13058
1981-04-24,0.13058,0.13058,0.129464,0.129464
1981-04-27,0.128906,0.128906,0.128348,0.128348
1981-04-28,0.126674,0.126674,0.126116,0.126116
1981-04-29,0.125,0.125,0.124442,0.124442
1981-04-30,0.126674,0.12779,0.126674,0.126674
1981-05-01,0.126674,0.12779,0.126674,0.126674
1981-05-04,0.126674,0.126674,0.126116,0.126116
1981-05-05,0.126116,0.126116,0.125558,0.125558
1981-05-06,0.122768,0.122768,0.12221,0.12221
1981-05-07,0.123884,0.124442,0.123884,0.123884
1981-05-08,0.125,0.125558,0.125,0.125
1981-05-11,0.122768,0.122768,0.12221,0.12221
1981-05-12,0.12221,0.123884,0.12221,0.12221
1981-05-13,0.12221,0.123326,0.121652,0.121652
1981-05-14,0.121094,0.121094,0.119978,0.119978
1981-05-15,0.122768,0.124442,0.122768,0.122768
1981-05-18,0.125,0.126116,0.125,0.125
1981-05-19,0.123326,0.123326,0.122768,0.122768
1981-05-20,0.126674,0.12779,0.126674,0.126674
1981-05-21,0.133929,0.134487,0.133929,0.133929
1981-05-22,0.140067,0.141183,0.140067,0.140067
1981-05-26,0.140067,0.140067,0.139509,0.139509
1981-05-27,0.147321,0.147879,0.147321,0.147321
1981-05-28,0.147321,0.147879,0.147321,0.147321
1981-05-29,0.147879,0.148438,0.147879,0.147879
1981-06-01,0.147879,0.148438,0.147879,0.147879
1981-06-02,0.141183,0.141183,0.140625,0.140625
1981-06-03,0.140625,0.141741,0.140625,0.140625
1981-06-04,0.143415,0.143973,0.143415,0.143415
1981-06-05,0.141741,0.141741,0.141183,0.141183
1981-06-08,0.136719,0.136719,0.136161,0.136161
1981-06-09,0.138951,0.139509,0.138951,0.138951
1981-06-10,0.140625,0.142299,0.140625,0.140625
1981-06-11,0.146763,0.147321,0.146763,0.146763
1981-06-12,0.145647,0.145647,0.145089,0.145089
1981-06-15,0.145089,0.145089,0.144531,0.144531
1981-06-16,0.142299,0.142299,0.141741,0.141741
1981-06-17,0.140067,0.140067,0.139509,0.139509
1981-06-18,0.139509,0.140067,0.138951,0.138951
1981-06-19,0.135603,0.135603,0.135045,0.135045
1981-06-22,0.13058,0.13058,0.130022,0.130022
1981-06-23,0.132254,0.133371,0.132254,0.132254
1981-06-24,0.130022,0.130022,0.128906,0.128906
1981-06-25,0.131696,0.132254,0.131696,0.131696
1981-06-26,0.131138,0.131138,0.130022,0.130022
1981-06-29,0.126674,0.126674,0.125558,0.125558
1981-06-30,0.116629,0.116629,0.116071,0.116071
1981-07-01,0.115513,0.115513,0.114955,0.114955
1981-07-02,0.114955,0.115513,0.114955,0.114955
1981-07-06,0.112165,0.112165,0.111049,0.111049
1981-07-07,0.112165,0.113281,0.112165,0.112165
1981-07-08,0.116629,0.117188,0.116629,0.116629
1981-07-09,0.108259,0.108259,0.107701,0.107701
1981-07-10,0.099888,0.099888,0.09933,0.09933
1981-07-13,0.101563,0.102121,0.101563,0.101563
1981-07-14,0.106027,0.107143,0.106027,0.106027
1981-07-15,0.108817,0.109375,0.108817,0.108817
1981-07-16,0.111607,0.112723,0.111607,0.111607
1981-07-17,0.115513,0.116071,0.115513,0.115513
1981-07-20,0.108259,0.108259,0.107701,0.107701
1981-07-21,0.107701,0.107701,0.107143,0.107143
1981-07-22,0.102121,0.102121,0.101004,0.101004
1981-07-23,0.103795,0.104353,0.103795,0.103795
1981-07-24,0.107143,0.107701,0.107143,0.107143
1981-07-27,0.111607,0.112165,0.111607,0.111607
1981-07-28,0.108259,0.108259,0.107701,0.107701
1981-07-29,0.106585,0.106585,0.106027,0.106027
1981-07-30,0.109933,0.111049,0.109933,0.109933
1981-07-31,0.111607,0.112165,0.111607,0.111607
1981-08-03,0.111607,0.111607,0.110491,0.110491
1981-08-04,0.112165,0.112723,0.112165,0.112165
1981-08-05,0.115513,0.116071,0.115513,0.115513
1981-08-06,0.113281,0.113281,0.112723,0.112723
1981-08-07,0.112723,0.113281,0.112723,0.112723
1981-08-10,0.112723,0.112723,0.112723,0.112723
1981-08-11,0.110491,0.110491,0.109375,0.109375
1981-08-12,0.107701,0.107701,0.107143,0.107143
1981-08-13,0.104353,0.104353,0.103795,0.103795
1981-08-14,0.103237,0.103237,0.102121,0.102121
1981-08-17,0.099888,0.099888,0.098772,0.098772
1981-08-18,0.097656,0.097656,0.09654,0.09654
1981-08-19,0.09654,0.09654,0.095424,0.095424
1981-08-20,0.09654,0.097098,0.09654,0.09654
1981-08-21,0.09096,0.09096,0.089844,0.089844
1981-08-24,0.084821,0.084821,0.084263,0.084263
1981-08-25,0.086496,0.087054,0.086496,0.086496
1981-08-26,0.085379,0.085379,0.084821,0.084821
1981-08-27,0.085379,0.085938,0.085379,0.085379
1981-08-28,0.089844,0.090402,0.089844,0.089844
1981-08-31,0.089844,0.090402,0.089844,0.089844
